"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","id","seed","entry","name","hand","ht","ioc","age","rank","rank_points","Op_id","Op_seed","Op_entry","opponent","Op_hand","Op_ht","Op_ioc","Op_age","Op_rank","Op_rank_points","score","best_of","round","minutes","ace","df","svpt","S1stIn","S1stWon","S2ndWon","SvGms","bpSaved","bpFaced","Op_ace","Op_df","Op_svpt","Op_S1stIn","Op_S1stWon","Op_S2ndWon","Op_SvGms","Op_bpSaved","Op_bpFaced","Win"
"846","2017-0894","Bogota","Clay",32,"I",20170410,273,202663,5,"","Magda Linette","R",NA,"POL",25.15811088,84,706,206408,NA,"Q","Nadia Podoroska","U",NA,"ARG",20.1615332,175,308,"6-1 6-3",3,"R32",74,2,6,52,35,25,5,8,4,6,0,6,73,49,22,11,8,8,14,1
"847","2017-0894","Bogota","Clay",32,"I",20170410,272,202467,NA,"","Elitsa Kostova","U",NA,"BUL",27.00068446,146,392,202479,NA,"","Grace Min","R",NA,"USA",22.92950034,127,463,"6-3 6-1",3,"R32",66,0,1,57,40,27,9,8,4,6,0,3,45,25,12,7,8,3,9,1
"848","2017-0894","Bogota","Clay",32,"I",20170410,271,204427,NA,"","Sara Sorribes Tormo","R",NA,"ESP",20.50376454,93,645,202653,NA,"","Denisa Allertova","R",NA,"CZE",24.09308693,107,554,"6-1 7-6(4)",3,"R32",102,0,14,79,41,29,9,9,8,13,1,10,82,47,22,10,10,6,14,1
"849","2017-0894","Bogota","Clay",32,"I",20170410,270,211701,2,"","Katerina Siniakova","R",NA,"CZE",20.91718001,38,1363,213525,NA,"Q","Jil Belen Teichmann","L",NA,"SUI",19.73716632,208,252,"6-0 6-4",3,"R32",86,2,5,47,29,24,8,8,1,2,0,4,48,33,14,7,8,3,8,1
"850","2017-1099","Zhengzhou","Hard",32,"I",20170417,300,202492,2,"","Qiang Wang","R",NA,"CHN",25.25667351,68,844,201397,1,"","Shuai Peng","R",173,"CHN",31.27173169,40,1300,"3-6 7-6(3) 1-1 RET",3,"F",135,1,1,76,48,27,12,11,5,11,1,2,103,73,38,15,12,14,19,1
"851","2017-1099","Zhengzhou","Hard",32,"I",20170417,299,201397,1,"","Shuai Peng","R",173,"CHN",31.27173169,40,1300,202453,5,"","Saisai Zheng","R",NA,"CHN",23.19507187,90,689,"7-6(2) 7-6(5)",3,"SF",137,2,2,91,60,37,14,12,8,13,2,0,85,54,29,14,12,6,11,1
"852","2017-1099","Zhengzhou","Hard",32,"I",20170417,298,202492,2,"","Qiang Wang","R",NA,"CHN",25.25667351,68,844,202504,3,"","Ying Ying Duan","R",NA,"CHN",27.87132101,63,904,"7-6(11) 6-2",3,"SF",85,4,3,76,58,39,6,10,2,5,0,6,65,49,29,4,10,4,9,1
"853","2017-1099","Zhengzhou","Hard",32,"I",20170417,297,201397,1,"","Shuai Peng","R",173,"CHN",31.27173169,40,1300,201610,NA,"","Zarina Diyas","R",NA,"KAZ",23.49623546,239,203,"6-3 6-3",3,"QF",77,1,2,48,31,24,9,9,0,1,1,3,70,43,26,11,9,6,10,1
"854","2017-1099","Zhengzhou","Hard",32,"I",20170417,296,202453,5,"","Saisai Zheng","R",NA,"CHN",23.19507187,90,689,211702,4,"","Nao Hibino","R",NA,"JPN",22.38466804,79,774,"6-3 6-4",3,"QF",100,3,2,53,37,25,8,9,0,2,0,2,82,60,33,9,10,7,12,1
"855","2017-1099","Zhengzhou","Hard",32,"I",20170417,295,202504,3,"","Ying Ying Duan","R",NA,"CHN",27.87132101,63,904,204294,NA,"","Su Jeong Jang","R",NA,"KOR",22.0971937,154,375,"6-4 7-5",3,"QF",91,1,1,65,45,33,11,11,2,4,5,1,59,41,26,11,11,0,4,1
"856","2017-1099","Zhengzhou","Hard",32,"I",20170417,294,202492,2,"","Qiang Wang","R",NA,"CHN",25.25667351,68,844,203578,8,"","Fangzhou Liu","U",NA,"CHN",21.34702259,138,420,"6-2 6-3",3,"QF",58,5,1,41,30,25,6,8,2,3,2,2,56,36,20,8,9,1,6,1
"857","2017-1099","Zhengzhou","Hard",32,"I",20170417,293,201397,1,"","Shuai Peng","R",173,"CHN",31.27173169,40,1300,203553,NA,"","Riko Sawayanagi","R",NA,"JPN",22.47775496,207,252,"6-1 6-4",3,"R16",77,0,0,52,33,23,13,9,1,2,0,5,57,32,18,10,8,6,10,1
"858","2017-1099","Zhengzhou","Hard",32,"I",20170417,292,201610,NA,"","Zarina Diyas","R",NA,"KAZ",23.49623546,239,203,202921,NA,"","Shiho Akita","R",NA,"JPN",27.24435318,242,199,"6-2 6-4",3,"R16",86,5,1,78,64,39,5,9,9,11,1,7,63,35,20,11,9,5,10,1
"859","2017-1099","Zhengzhou","Hard",32,"I",20170417,291,211702,4,"","Nao Hibino","R",NA,"JPN",22.38466804,79,774,205815,NA,"","Eri Hozumi","R",NA,"JPN",23.16221766,215,236,"6-3 6-2",3,"R16",66,2,0,49,32,22,12,9,1,2,1,1,53,30,16,11,8,2,6,1
"860","2017-1099","Zhengzhou","Hard",32,"I",20170417,290,202453,5,"","Saisai Zheng","R",NA,"CHN",23.19507187,90,689,201674,NA,"","Sabina Sharipova","R",NA,"UZB",22.61738535,143,400,"6-2 4-6 6-3",3,"R16",141,3,3,94,53,34,23,14,8,11,0,9,92,50,27,21,13,6,11,1
"861","2017-1099","Zhengzhou","Hard",32,"I",20170417,289,204294,NA,"","Su Jeong Jang","R",NA,"KOR",22.0971937,154,375,201597,6,"","Kurumi Nara","R",NA,"JPN",25.29774127,98,629,"7-5 4-0 RET",3,"R16",82,0,3,49,34,24,9,8,0,1,0,3,49,40,22,2,8,2,6,1
"862","2017-1099","Zhengzhou","Hard",32,"I",20170417,288,202504,3,"","Ying Ying Duan","R",NA,"CHN",27.87132101,63,904,201613,NA,"","Arina Rodionova","R",NA,"RUS",27.33744011,205,252,"4-6 6-4 7-6(5)",3,"R16",148,5,6,121,89,56,14,16,11,16,3,3,97,69,44,14,16,6,11,1
"863","2017-1099","Zhengzhou","Hard",32,"I",20170417,287,203578,8,"","Fangzhou Liu","U",NA,"CHN",21.34702259,138,420,206107,NA,"WC","Zhaoxuan Yang","U",NA,"CHN",22.17932923,494,61,"6-1 6-4",3,"R16",73,4,4,60,35,27,11,9,6,7,1,0,58,40,23,5,8,3,7,1
"864","2017-1099","Zhengzhou","Hard",32,"I",20170417,286,202492,2,"","Qiang Wang","R",NA,"CHN",25.25667351,68,844,204394,NA,"","Valentini Grammatikopoulou","U",NA,"GRE",20.183436,196,263,"4-6 7-5 6-2",3,"R16",120,1,1,101,61,41,19,15,6,10,0,3,90,62,33,15,15,4,10,1
"865","2017-1099","Zhengzhou","Hard",32,"I",20170417,285,201397,1,"","Shuai Peng","R",173,"CHN",31.27173169,40,1300,202422,NA,"","Shuko Aoyama","R",NA,"JPN",29.32785763,227,224,"6-1 6-1",3,"R32",58,0,0,44,33,23,4,7,2,3,0,4,38,28,9,1,7,2,8,1
"866","2017-1099","Zhengzhou","Hard",32,"I",20170417,284,203553,NA,"","Riko Sawayanagi","R",NA,"JPN",22.47775496,207,252,203504,NA,"","Miyu Kato","R",NA,"JPN",22.40383299,208,247,"7-6(4) 6-0",3,"R32",NA,0,4,74,49,34,10,9,7,9,1,5,89,51,29,13,9,6,11,1
"867","2017-1099","Zhengzhou","Hard",32,"I",20170417,283,202921,NA,"","Shiho Akita","R",NA,"JPN",27.24435318,242,199,206349,NA,"","Mayo Hibi","U",NA,"JPN",21.03764545,210,243,"6-2 6-4",3,"R32",NA,1,5,66,35,25,16,9,3,4,1,0,57,39,21,8,9,2,6,1
"868","2017-1099","Zhengzhou","Hard",32,"I",20170417,282,201610,NA,"","Zarina Diyas","R",NA,"KAZ",23.49623546,239,203,201580,7,"","Xinyun Han","L",NA,"CHN",26.88295688,121,485,"6-2 6-0",3,"R32",NA,2,0,37,31,24,3,7,1,2,0,3,52,28,11,9,7,8,14,1
"869","2017-1099","Zhengzhou","Hard",32,"I",20170417,281,211702,4,"","Nao Hibino","R",NA,"JPN",22.38466804,79,774,202639,NA,"","Akiko Omae","R",NA,"JPN",24.21355236,192,277,"6-1 6-2",3,"R32",66,3,2,58,42,30,9,8,5,5,2,3,42,29,17,4,7,4,8,1
"870","2017-1099","Zhengzhou","Hard",32,"I",20170417,280,205815,NA,"","Eri Hozumi","R",NA,"JPN",23.16221766,215,236,215250,NA,"Q","Hanyu Guo","R",NA,"CHN",18.91581109,358,105,"6-1 6-3",3,"R32",69,2,2,64,38,24,13,8,7,9,0,5,51,31,14,7,8,3,9,1
"871","2017-1099","Zhengzhou","Hard",32,"I",20170417,279,201674,NA,"","Sabina Sharipova","R",NA,"UZB",22.61738535,143,400,214608,NA,"Q","Jia Qi Kang","R",NA,"CHN",19.74537988,427,78,"6-4 3-6 6-4",3,"R32",NA,1,10,103,54,36,20,15,4,10,2,2,98,67,43,10,14,5,11,1
"872","2017-1099","Zhengzhou","Hard",32,"I",20170417,278,202453,5,"","Saisai Zheng","R",NA,"CHN",23.19507187,90,689,203288,NA,"","Jia Jing Lu","U",NA,"CHN",27.41136208,225,226,"6-2 6-2",3,"R32",NA,0,1,40,23,15,11,8,1,3,0,3,50,34,13,5,8,2,8,1
"873","2017-1099","Zhengzhou","Hard",32,"I",20170417,277,201597,6,"","Kurumi Nara","R",NA,"JPN",25.29774127,98,629,202684,NA,"","Lin Zhu","R",NA,"CHN",23.21697467,140,413,"6-4 7-5",3,"R32",NA,0,2,76,50,29,16,11,4,8,0,12,92,49,25,18,11,13,19,1
"874","2017-1099","Zhengzhou","Hard",32,"I",20170417,276,204294,NA,"","Su Jeong Jang","R",NA,"KOR",22.0971937,154,375,204291,NA,"","Na Lae Han","L",NA,"KOR",24.78028747,183,289,"6-4 6-1",3,"R32",NA,0,2,46,30,17,11,8,2,4,0,7,61,34,17,8,9,4,10,1
"875","2017-1099","Zhengzhou","Hard",32,"I",20170417,275,201613,NA,"","Arina Rodionova","R",NA,"RUS",27.33744011,205,252,202919,NA,"WC","Chang Liu","U",NA,"CHN",26.71047228,299,143,"7-6(2) 7-6(4)",3,"R32",NA,0,6,93,67,35,12,12,5,11,1,6,92,58,32,10,12,4,10,1
"876","2017-1099","Zhengzhou","Hard",32,"I",20170417,274,202504,3,"","Ying Ying Duan","R",NA,"CHN",27.87132101,63,904,204223,NA,"Q","Peangtarn Plipuech","U",NA,"THA",24.41889117,279,161,"6-1 6-1",3,"R32",45,8,1,36,22,18,9,7,2,3,0,0,44,28,13,1,7,2,8,1
"877","2017-1099","Zhengzhou","Hard",32,"I",20170417,273,203578,8,"","Fangzhou Liu","U",NA,"CHN",21.34702259,138,420,201679,NA,"Q","Varatchaya Wongteanchai","R",NA,"THA",27.60848734,289,152,"7-6(4) 6-2",3,"R32",88,7,1,63,40,32,12,10,0,1,0,2,69,44,30,11,10,2,5,1
"878","2017-1099","Zhengzhou","Hard",32,"I",20170417,272,206107,NA,"WC","Zhaoxuan Yang","U",NA,"CHN",22.17932923,494,61,203489,NA,"WC","Hao Chen Tang","R",NA,"CHN",23.15126626,487,63,"6-1 6-2",3,"R32",52,3,2,44,32,23,6,8,0,1,1,4,42,24,14,5,7,4,9,1
"879","2017-1099","Zhengzhou","Hard",32,"I",20170417,271,204394,NA,"","Valentini Grammatikopoulou","U",NA,"GRE",20.183436,196,263,201703,NA,"WC","Yi Fan Xu","L",NA,"CHN",28.6899384,378,95,"6-1 6-3",3,"R32",57,1,2,55,41,25,5,8,4,7,0,3,51,31,13,5,8,2,9,1
"880","2017-1099","Zhengzhou","Hard",32,"I",20170417,270,202492,2,"","Qiang Wang","R",NA,"CHN",25.25667351,68,844,206075,NA,"","Hiroko Kuwata","U",NA,"JPN",26.32991102,179,311,"6-1 6-1",3,"R32",59,1,1,44,29,20,10,7,4,5,0,3,49,32,14,4,7,2,8,1
"881","2017-1027","Istanbul","Clay",32,"I",20170424,300,202494,1,"","Elina Svitolina","R",174,"UKR",22.6146475,13,3740,210722,6,"","Elise Mertens","U",NA,"BEL",21.43463381,65,874,"6-2 6-4",3,"F",75,1,2,51,34,21,10,9,2,5,3,1,56,35,18,8,9,6,12,1
"882","2017-1027","Istanbul","Clay",32,"I",20170424,299,202494,1,"","Elina Svitolina","R",174,"UKR",22.6146475,13,3740,202450,NA,"","Jana Cepelova","R",168,"SVK",23.90417522,97,629,"6-2 6-3",3,"SF",72,3,2,48,29,19,10,8,3,5,1,4,59,32,17,9,9,5,11,1
"883","2017-1027","Istanbul","Clay",32,"I",20170424,298,210722,6,"","Elise Mertens","U",NA,"BEL",21.43463381,65,874,201593,3,"","Irina Camelia Begu","R",181,"ROU",26.66119097,33,1507,"6-1 6-1",3,"SF",67,1,1,49,33,22,11,7,1,1,0,4,44,27,14,5,7,2,7,1
"884","2017-1027","Istanbul","Clay",32,"I",20170424,297,202494,1,"","Elina Svitolina","R",174,"UKR",22.6146475,13,3740,201514,5,"","Sorana Cirstea","R",176,"ROU",27.04722793,66,873,"6-4 6-4",3,"QF",91,2,5,67,39,29,11,10,6,8,0,4,74,34,21,17,10,7,11,1
"885","2017-1027","Istanbul","Clay",32,"I",20170424,296,202450,NA,"","Jana Cepelova","R",168,"SVK",23.90417522,97,629,215035,NA,"WC","Dayana Yastremska","R",NA,"UKR",16.94182067,420,80,"2-6 7-6(4) 6-4",3,"QF",163,1,5,92,62,37,12,15,9,16,0,6,115,71,34,24,15,7,13,1
"886","2017-1027","Istanbul","Clay",32,"I",20170424,295,201593,3,"","Irina Camelia Begu","R",181,"ROU",26.66119097,33,1507,201701,NA,"Q","Basak Eraydin","R",NA,"TUR",22.84188912,257,188,"2-6 7-6(5) 6-1",3,"QF",165,0,6,96,67,40,10,14,5,12,1,8,97,58,28,19,13,7,14,1
"887","2017-1027","Istanbul","Clay",32,"I",20170424,294,210722,6,"","Elise Mertens","U",NA,"BEL",21.43463381,65,874,201666,NA,"","Cagla Buyukakcay","R",NA,"TUR",27.57015743,181,295,"6-4 4-6 6-2",3,"QF",154,3,2,88,63,44,8,14,4,9,0,2,89,64,31,14,14,6,13,1
"888","2017-1027","Istanbul","Clay",32,"I",20170424,293,202494,1,"","Elina Svitolina","R",174,"UKR",22.6146475,13,3740,202456,NA,"Q","Alexandra Cadantu","R",170,"ROU",26.97604381,292,154,"6-3 6-3",3,"R16",90,2,1,53,32,22,11,9,2,4,0,2,60,40,21,7,9,4,9,1
"889","2017-1027","Istanbul","Clay",32,"I",20170424,292,201514,5,"","Sorana Cirstea","R",176,"ROU",27.04722793,66,873,206289,NA,"","Maria Sakkari","R",NA,"GRE",21.74948665,96,631,"6-4 6-2",3,"R16",81,1,3,60,32,22,15,9,6,8,0,0,53,38,18,7,9,3,8,1
"890","2017-1027","Istanbul","Clay",32,"I",20170424,291,202450,NA,"","Jana Cepelova","R",168,"SVK",23.90417522,97,629,204427,NA,"","Sara Sorribes Tormo","R",NA,"ESP",20.54209446,82,735,"6-4 7-6(3)",3,"R16",121,0,7,75,36,22,15,11,4,10,0,9,83,54,28,8,11,9,16,1
"891","2017-1027","Istanbul","Clay",32,"I",20170424,290,215035,NA,"WC","Dayana Yastremska","R",NA,"UKR",16.94182067,420,80,214939,NA,"LL","Anna Kalinskaya","R",NA,"RUS",18.39288159,145,391,"6-1 6-4",3,"R16",67,1,2,49,38,21,6,8,3,6,0,5,47,30,15,1,9,0,7,1
"892","2017-1027","Istanbul","Clay",32,"I",20170424,289,201701,NA,"Q","Basak Eraydin","R",NA,"TUR",22.84188912,257,188,213767,NA,"WC","Ayla Aksu","R",NA,"USA",20.77481177,312,135,"6-1 6-3",3,"R16",68,3,2,46,31,23,7,8,0,1,1,3,60,31,19,10,8,12,17,1
"893","2017-1027","Istanbul","Clay",32,"I",20170424,288,201593,3,"","Irina Camelia Begu","R",181,"ROU",26.66119097,33,1507,201465,NA,"","Kirsten Flipkens","R",165,"BEL",31.28542094,93,647,"6-1 1-6 6-3",3,"R16",103,0,8,76,47,26,14,11,6,11,2,7,65,34,20,10,12,2,9,1
"894","2017-1027","Istanbul","Clay",32,"I",20170424,287,210722,6,"","Elise Mertens","U",NA,"BEL",21.43463381,65,874,201506,NA,"","Sara Errani","R",164,"ITA",29.98767967,110,542,"7-6(3) 3-6 6-3",3,"R16",165,2,8,91,64,37,11,15,5,12,0,2,116,99,49,8,15,13,20,1
"895","2017-1027","Istanbul","Clay",32,"I",20170424,286,201666,NA,"","Cagla Buyukakcay","R",NA,"TUR",27.57015743,181,295,201693,2,"","Timea Babos","R",179,"HUN",23.95619439,30,1565,"6-4 7-6(5)",3,"R16",119,0,2,72,46,28,20,11,6,8,2,2,77,44,30,13,11,3,6,1
"896","2017-1027","Istanbul","Clay",32,"I",20170424,285,202494,1,"","Elina Svitolina","R",174,"UKR",22.6146475,13,3740,205606,NA,"Q","Viktoria Kamenskaya","R",NA,"RUS",25.40999316,210,247,"6-4 0-6 6-1",3,"R32",114,1,3,76,43,29,11,12,8,14,0,3,85,59,31,11,11,14,20,1
"897","2017-1027","Istanbul","Clay",32,"I",20170424,284,202456,NA,"Q","Alexandra Cadantu","R",170,"ROU",26.97604381,292,154,211702,NA,"","Nao Hibino","R",NA,"JPN",22.40383299,80,743,"2-6 6-0 6-3",3,"R32",153,1,7,84,57,31,10,11,7,13,2,4,90,57,21,17,12,8,17,1
"898","2017-1027","Istanbul","Clay",32,"I",20170424,283,206289,NA,"","Maria Sakkari","R",NA,"GRE",21.74948665,96,631,203575,NA,"","Danka Kovinic","R",NA,"MNE",22.4312115,108,551,"7-6(3) 6-3",3,"R32",110,1,0,59,44,26,7,10,0,4,1,5,83,34,17,22,11,3,9,1
"899","2017-1027","Istanbul","Clay",32,"I",20170424,282,201514,5,"","Sorana Cirstea","R",176,"ROU",27.04722793,66,873,211539,NA,"Q","Fiona Ferro","U",NA,"FRA",20.11772758,208,252,"6-3 6-1",3,"R32",66,2,3,44,20,18,16,8,3,3,0,1,53,40,23,4,8,5,9,1
"900","2017-1027","Istanbul","Clay",32,"I",20170424,281,202450,NA,"","Jana Cepelova","R",168,"SVK",23.90417522,97,629,202446,4,"","Eugenie Bouchard","R",NA,"CAN",23.15947981,59,965,"6-0 6-4",3,"R32",65,0,1,39,19,15,15,8,0,1,2,2,62,40,18,10,8,7,12,1
"901","2017-1027","Istanbul","Clay",32,"I",20170424,280,204427,NA,"","Sara Sorribes Tormo","R",NA,"ESP",20.54209446,82,735,203567,NA,"WC","Ipek Soylu","R",NA,"TUR",21.02395619,160,355,"6-3 7-5",3,"R32",107,0,11,75,42,24,14,10,2,7,0,9,60,34,18,5,11,1,9,1
"902","2017-1027","Istanbul","Clay",32,"I",20170424,279,214939,NA,"LL","Anna Kalinskaya","R",NA,"RUS",18.39288159,145,391,201578,NA,"","Kai Chen Chang","R",NA,"TPE",26.27789185,113,521,"6-1 6-3",3,"R32",64,1,3,46,27,19,10,8,1,3,0,6,56,32,14,9,8,9,15,1
"903","2017-1027","Istanbul","Clay",32,"I",20170424,278,215035,NA,"WC","Dayana Yastremska","R",NA,"UKR",16.94182067,420,80,201492,8,"","Andrea Petkovic","R",180,"GER",29.62354552,78,765,"3-6 6-0 6-3",3,"R32",124,3,4,102,64,34,22,12,12,16,0,3,63,46,23,5,12,4,11,1
"904","2017-1027","Istanbul","Clay",32,"I",20170424,277,201701,NA,"Q","Basak Eraydin","R",NA,"TUR",22.84188912,257,188,201450,7,"","Tsvetana Pironkova","R",180,"BUL",29.61259411,74,792,"6-2 6-4",3,"R32",98,2,5,72,43,27,13,9,5,8,0,1,63,36,17,11,9,4,10,1
"905","2017-1027","Istanbul","Clay",32,"I",20170424,276,213767,NA,"WC","Ayla Aksu","R",NA,"USA",20.77481177,312,135,206404,NA,"Q","Elizaveta Kulichkova","R",NA,"RUS",21.03216975,224,227,"7-5 6-1",3,"R32",107,2,4,74,44,31,12,10,11,14,6,5,79,44,26,10,9,10,16,1
"906","2017-1027","Istanbul","Clay",32,"I",20170424,275,201465,NA,"","Kirsten Flipkens","R",165,"BEL",31.28542094,93,647,201568,NA,"","Kristina Kucova","R",NA,"SVK",26.92128679,94,640,"6-0 1-0 RET",3,"R32",28,5,1,20,10,9,7,4,0,0,0,3,14,6,2,0,3,0,3,1
"907","2017-1027","Istanbul","Clay",32,"I",20170424,274,201593,3,"","Irina Camelia Begu","R",181,"ROU",26.66119097,33,1507,213583,NA,"","Tatjana Maria","R",NA,"GER",29.71115674,103,587,"1-6 6-1 7-5",3,"R32",133,1,5,90,57,34,15,13,6,11,0,6,82,44,23,19,13,2,8,1
"908","2017-1027","Istanbul","Clay",32,"I",20170424,273,210722,6,"","Elise Mertens","U",NA,"BEL",21.43463381,65,874,203462,NA,"","Kateryna Kozlova","R",NA,"UKR",23.17316906,132,429,"6-4 6-1",3,"R32",90,0,3,44,27,17,11,8,2,4,0,2,62,34,14,14,9,4,10,1
"909","2017-1027","Istanbul","Clay",32,"I",20170424,272,201506,NA,"","Sara Errani","R",164,"ITA",29.98767967,110,542,201444,NA,"","Su Wei Hsieh","R",169,"TPE",31.30184805,101,605,"6-0 6-1",3,"R32",55,0,0,38,27,18,7,6,1,2,0,4,47,24,9,6,7,5,12,1
"910","2017-1027","Istanbul","Clay",32,"I",20170424,271,201666,NA,"","Cagla Buyukakcay","R",NA,"TUR",27.57015743,181,295,202628,NA,"","Maryna Zanevska","R",NA,"UKR",23.6659822,116,512,"6-2 6-1",3,"R32",75,0,0,46,29,19,12,8,2,3,0,6,53,28,16,7,7,8,13,1
"911","2017-1027","Istanbul","Clay",32,"I",20170424,270,201693,2,"","Timea Babos","R",179,"HUN",23.95619439,30,1565,202424,NA,"Q","Conny Perrin","R",NA,"SUI",26.32991102,216,238,"6-3 6-2",3,"R32",77,1,3,58,39,24,12,9,3,5,2,3,51,31,17,6,8,3,8,1
"912","2017-1051","Stuttgart","Clay",32,"I",20170424,300,201696,NA,"WC","Laura Siegemund","R",NA,"GER",29.13894593,49,1096,201540,NA,"","Kristina Mladenovic","R",184,"FRA",23.94524298,19,2080,"6-1 2-6 7-6(5)",3,"F",149,0,6,92,62,42,10,14,2,7,4,2,90,64,41,11,13,8,13,1
"913","2017-1051","Stuttgart","Clay",32,"I",20170424,299,201540,NA,"","Kristina Mladenovic","R",184,"FRA",23.94524298,19,2080,201345,NA,"WC","Maria Sharapova","R",NA,"RUS",30.01505818,NA,NA,"3-6 7-5 6-4",3,"SF",158,4,11,102,54,47,17,15,13,16,8,5,96,55,41,19,16,4,8,1
"914","2017-1051","Stuttgart","Clay",32,"I",20170424,298,201696,NA,"WC","Laura Siegemund","R",NA,"GER",29.13894593,49,1096,201594,4,"","Simona Halep","R",168,"ROU",25.5742642,5,5021,"6-4 7-5",3,"SF",102,1,3,66,46,23,10,11,1,7,0,1,69,51,24,5,11,6,14,1
"915","2017-1051","Stuttgart","Clay",32,"I",20170424,297,201540,NA,"","Kristina Mladenovic","R",184,"FRA",23.94524298,19,2080,201521,NA,"","Carla Suarez Navarro","R",162,"ESP",28.63791923,25,1775,"6-3 6-2",3,"QF",74,2,1,52,38,29,8,9,0,0,0,1,57,41,24,5,8,3,6,1
"916","2017-1051","Stuttgart","Clay",32,"I",20170424,296,201345,NA,"WC","Maria Sharapova","R",NA,"RUS",30.01505818,NA,NA,204426,NA,"Q","Anett Kontaveit","R",NA,"EST",21.33333333,73,801,"6-3 6-4",3,"QF",83,4,2,56,33,26,11,9,6,8,4,1,59,31,20,10,10,1,6,1
"917","2017-1051","Stuttgart","Clay",32,"I",20170424,295,201594,4,"","Simona Halep","R",168,"ROU",25.5742642,5,5021,201545,NA,"","Anastasija Sevastova","U",NA,"LAT",27.03080082,26,1760,"6-3 6-1",3,"QF",59,0,1,42,26,18,9,8,1,3,0,0,53,34,14,8,8,4,10,1
"918","2017-1051","Stuttgart","Clay",32,"I",20170424,294,201696,NA,"WC","Laura Siegemund","R",NA,"GER",29.13894593,49,1096,201662,2,"","Karolina Pliskova","R",184,"CZE",25.09240246,3,6020,"7-6(3) 5-7 6-3",3,"QF",189,3,3,114,85,56,18,17,4,7,7,1,130,80,58,18,16,8,11,1
"919","2017-1051","Stuttgart","Clay",32,"I",20170424,293,201540,NA,"","Kristina Mladenovic","R",184,"FRA",23.94524298,19,2080,201493,1,"","Angelique Kerber","L",173,"GER",29.26488706,2,6925,"6-2 7-5",3,"R16",96,6,2,76,51,34,14,10,6,7,3,0,61,44,26,7,10,2,6,1
"920","2017-1051","Stuttgart","Clay",32,"I",20170424,292,201521,NA,"","Carla Suarez Navarro","R",162,"ESP",28.63791923,25,1775,201455,NA,"","Elena Vesnina","R",176,"RUS",30.72963723,14,2925,"6-2 6-4",3,"R16",85,4,0,87,68,41,7,9,11,13,3,2,55,36,19,9,9,5,10,1
"921","2017-1051","Stuttgart","Clay",32,"I",20170424,291,204426,NA,"Q","Anett Kontaveit","R",NA,"EST",21.33333333,73,801,202469,5,"","Garbine Muguruza","R",182,"ESP",23.54277892,6,4691,"2-6 7-6(1) 6-1",3,"R16",134,6,4,103,71,47,15,13,8,10,4,5,102,68,42,14,14,6,9,1
"922","2017-1051","Stuttgart","Clay",32,"I",20170424,290,201345,NA,"WC","Maria Sharapova","R",NA,"RUS",30.01505818,NA,NA,201505,NA,"","Ekaterina Makarova","L",178,"RUS",28.8788501,43,1250,"7-5 6-1",3,"R16",79,9,7,59,33,28,14,10,1,1,3,0,46,25,17,11,9,1,4,1
"923","2017-1051","Stuttgart","Clay",32,"I",20170424,289,201545,NA,"","Anastasija Sevastova","U",NA,"LAT",27.03080082,26,1760,202427,6,"","Johanna Konta","R",NA,"GBR",25.93839836,7,4330,"6-3 7-5",3,"R16",82,6,1,67,49,35,7,11,7,10,1,1,64,38,20,13,10,3,8,1
"924","2017-1051","Stuttgart","Clay",32,"I",20170424,288,201594,4,"","Simona Halep","R",168,"ROU",25.5742642,5,5021,201366,NA,"","Barbora Zahlavova Strycova","R",164,"CZE",31.07460643,17,2130,"6-2 6-3",3,"R16",74,2,1,53,33,22,9,9,3,6,0,2,43,28,11,5,8,2,8,1
"925","2017-1051","Stuttgart","Clay",32,"I",20170424,287,201696,NA,"WC","Laura Siegemund","R",NA,"GER",29.13894593,49,1096,201320,8,"","Svetlana Kuznetsova","R",174,"RUS",31.82477755,9,4025,"6-4 6-3",3,"R16",123,1,4,81,52,31,14,9,10,13,1,5,96,68,39,7,10,8,14,1
"926","2017-1051","Stuttgart","Clay",32,"I",20170424,286,201662,2,"","Karolina Pliskova","R",184,"CZE",25.09240246,3,6020,201535,NA,"","Coco Vandeweghe","R",185,"USA",25.38261465,23,1823,"7-6(2) 6-4",3,"R16",102,7,1,75,48,34,16,11,4,5,12,4,80,42,28,19,11,3,5,1
"927","2017-1051","Stuttgart","Clay",32,"I",20170424,284,201540,NA,"","Kristina Mladenovic","R",184,"FRA",23.94524298,19,2080,200002,NA,"","Mirjana Lucic","R",NA,"CRO",35.1266256,21,1924,"6-4 6-2",3,"R32",74,4,3,53,38,21,9,9,0,2,4,7,57,31,18,10,9,1,6,1
"928","2017-1051","Stuttgart","Clay",32,"I",20170424,283,201455,NA,"","Elena Vesnina","R",176,"RUS",30.72963723,14,2925,214082,NA,"","Darya Kasatkina","R",NA,"RUS",19.96440794,29,1630,"7-6(2) 6-2",3,"R32",101,4,1,75,44,32,11,10,6,9,2,3,78,51,23,15,10,6,11,1
"929","2017-1051","Stuttgart","Clay",32,"I",20170424,282,201521,NA,"","Carla Suarez Navarro","R",162,"ESP",28.63791923,25,1775,211337,NA,"Q","Tamara Korpatsch","U",NA,"GER",21.95208761,140,397,"6-2 6-4",3,"R32",97,0,1,68,50,31,12,9,12,13,0,0,62,43,22,11,9,8,12,1
